archivo,fila,columna,tau,error_rms,error_relativo
IMG_20260425_184934.jpg,7,0,0.05106166241989646,0.026975560187509743,0.12483862227614392
IMG_20260425_184934.jpg,7,1,0.05057475255183193,0.024179322024550684,0.11410457134315773
IMG_20260425_184934.jpg,7,2,0.0636161360898097,0.02038511789301541,0.12252409319418447
IMG_20260425_184934.jpg,7,3,0.06042733255297293,0.021266176085128694,0.12304449657695023
IMG_20260425_184934.jpg,7,4,0.06151829415332982,0.016922027943074687,0.09662715961466532
IMG_20260425_184934.jpg,7,5,0.06859479878000486,0.020002690966829603,0.12406567249917942
IMG_20260425_184934.jpg,7,6,0.06953214864788836,0.01943057438092468,0.1237676406140303
IMG_20260425_184934.jpg,7,7,0.09540828960699879,0.025116502879516396,0.2082944018462471
IMG_20260425_184935.jpg,0,0,0.06445375991646461,0.009947722701204795,0.05952777305187239
IMG_20260425_184935.jpg,0,1,0.08711926160805018,0.007769784202039875,0.06306869598591397
IMG_20260425_184935.jpg,0,2,0.09859210771540375,0.006804819473378729,0.06462293386531981
IMG_20260425_184935.jpg,0,3,0.07064295358148942,0.008388568385659823,0.05635991697108267
